algorithm,caseId,family,method,status,objectiveKind,objectivePrimary,objectiveSecondary,verification,totalSec,B,b,numAP,positiveTraceCount,negativeTraceCount,finalFormulaSize,binaryNodeCount,unaryNodeCount,unaryDepth,dagNodeCount,hasSharing,positiveTracePassed,negativeTracePassed,constraintAutomatonPassed,identityConstraintsPassed,vars,backendTotalClauses,peakRssKb,error
Oracle,tiny_01499,dnf,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.2141187790002732,3,0,1,1,1,,,,,,,,,,,,,45508,
ATLAS-B,tiny_01499,dnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7650070120002965,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,4357,12676,102892,
MacroATLAS,tiny_01499,dnf,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8150810100000854,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,3025,6690,110608,
Oracle,tiny_01500,required,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21398302499983402,3,1,2,1,2,,,,,,,,,,,,,47036,
ATLAS-B,tiny_01500,required,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9151456330000656,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,16507,53771,126140,
MacroATLAS,tiny_01500,required,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.7650240120001399,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,3248,6867,105908,
Oracle,tiny_01501,no_dag_reuse,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21414932900006534,3,1,2,1,2,,,,,,,,,,,,,47124,
ATLAS-B,tiny_01501,no_dag_reuse,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9150649599996541,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,16556,53853,129112,
MacroATLAS,tiny_01501,no_dag_reuse,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.7647897970000486,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,2914,5792,101992,
Oracle,tiny_01502,global_prop,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.2141103879998809,4,0,1,1,1,,,,,,,,,,,,,46440,
ATLAS-B,tiny_01502,global_prop,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.8150700000001052,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,6319,18631,100960,
MacroATLAS,tiny_01502,global_prop,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.8648883109999588,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,2920,6505,115940,
Oracle,tiny_01503,repair,oracle,SAT,REPAIR,1,2,REFERENCE_EXHAUSTIVE,0.2139916359997187,3,0,1,1,1,,,,,,,,,,,,,45432,
ATLAS-B,tiny_01503,repair,atlas-b,SAT,REPAIR,1,2,PASSED,0.7650018529998306,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,5187,15003,98448,
MacroATLAS,tiny_01503,repair,macro,SAT,REPAIR,1,2,PASSED,0.7649160900000425,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2316,4422,100144,
Oracle,tiny_01504,plain,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21410282900023958,3,1,2,2,1,,,,,,,,,,,,,46636,
