algorithm,caseId,family,method,status,objectiveKind,objectivePrimary,objectiveSecondary,verification,totalSec,B,b,numAP,positiveTraceCount,negativeTraceCount,finalFormulaSize,binaryNodeCount,unaryNodeCount,unaryDepth,dagNodeCount,hasSharing,positiveTracePassed,negativeTracePassed,constraintAutomatonPassed,identityConstraintsPassed,vars,backendTotalClauses,peakRssKb,error
Oracle,tiny_01468,required,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21409955799981617,4,0,1,1,1,,,,,,,,,,,,,46452,
ATLAS-B,tiny_01468,required,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.915201973999956,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,13677,44057,116732,
MacroATLAS,tiny_01468,required,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9152283550001812,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,7107,15160,131560,
Oracle,tiny_01469,no_dag_reuse,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21406483700002354,4,0,1,1,1,,,,,,,,,,,,,46524,
ATLAS-B,tiny_01469,no_dag_reuse,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.8652338890001374,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,10759,33839,110944,
MacroATLAS,tiny_01469,no_dag_reuse,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9653305319998253,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,6385,13143,125384,
Oracle,tiny_01470,global_prop,oracle,SAT,MIN_EXPANDED_SIZE,0,4,REFERENCE_EXHAUSTIVE,0.31440042700023696,4,1,2,1,2,,,,,,,,,,,,,73848,
ATLAS-B,tiny_01470,global_prop,atlas-b,SAT,MIN_EXPANDED_SIZE,0,4,PASSED,0.9652329699997608,4,1,2,1,2,4,1,1,1,4,False,True,True,True,True,17330,55220,129428,
MacroATLAS,tiny_01470,global_prop,macro,SAT,MIN_EXPANDED_SIZE,0,4,PASSED,0.9649639929998557,4,1,2,1,2,4,1,1,1,4,False,True,True,True,True,6887,16121,132884,
Oracle,tiny_01471,repair,oracle,UNSAT,REPAIR,0,0,REFERENCE_EXHAUSTIVE,0.21407778800039523,2,0,1,2,1,,,,,,,,,,,,,45236,
ATLAS-B,tiny_01471,repair,atlas-b,UNSAT,REPAIR,0,0,NOT_APPLICABLE_UNSAT,1.0152439460002824,2,0,1,2,1,,,,,,,,,,,12164,39579,125416,
MacroATLAS,tiny_01471,repair,macro,UNSAT,REPAIR,0,0,NOT_APPLICABLE_UNSAT,0.8648921409999275,2,0,1,2,1,,0,,,,,,,,,1191,2066,112484,
Oracle,tiny_01472,plain,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.21409239800004798,2,0,1,2,1,,,,,,,,,,,,,44552,
ATLAS-B,tiny_01472,plain,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7148100320000594,2,0,1,2,1,,,,,,,,,,,4229,12336,97072,
MacroATLAS,tiny_01472,plain,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.6147854099999677,2,0,1,2,1,,0,,,,,,,,,1211,2265,88324,
Oracle,tiny_01473,nnf,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.21410767799989117,2,0,1,2,1,,,,,,,,,,,,,45016,
