caseId,family,task,inputSha256,B,b,oracleStatus,oraclePrimary,oracleSecondary,oracleSatVerified,oracleWallSec,oldOracleStatus,oldOraclePrimary,oldOracleSecondary,atlasBStatus,atlasBPrimary,atlasBSecondary,atlasBSatVerified,macroStatus,macroPrimary,macroSecondary,macroSatVerified,macroStatusDiff,macroObjectiveDiff,atlasBStatusDiff,atlasBObjectiveDiff,oldOracleChanged
tiny_01180,required,required/tiny_01180.trace,9bc6f3f863ae234e3db1e620f4b7d0d72b46dff910acdef0b28f99624705eb93,3,1,SAT,0,3,True,0.10704334299953189,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01181,no_dag_reuse,no_dag_reuse/tiny_01181.trace,5248b850cd645e6867e8bd38fd5e5a980994f36cb58304bedc2d0b8266eab799,3,1,SAT,0,3,True,0.13021219599977485,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01182,global_prop,global_prop/tiny_01182.trace,55d455ae6b0eefa6f2e4333264c74df69ffceda9500738b1253ba673bf7b5fa1,4,0,SAT,0,3,True,0.0743199150019791,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01183,repair,repair/tiny_01183.trace,ff0e55b7f36bfa4cc7af56dda2345f52696b20d3e938da71ba15cdf55e1bf6a3,2,0,UNSAT,0,0,False,0.06949468500170042,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01184,plain,plain/tiny_01184.trace,ab87f0a017a4e65e47c7e549f476a344f8adeb5eb9a61214c980dfdc176dbcb0,3,1,SAT,0,3,True,0.13957947300150408,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01185,nnf,nnf/tiny_01185.trace,6855975e08d2470691c56892fe71168779018d0f21688f5710b0f084275ee62f,3,1,SAT,0,3,True,0.10756850499819848,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01186,cnf,cnf/tiny_01186.trace,9f4bfba643c4c948173c5177d26c24ce0a20b273ce64f61c53f99ba88bff9026,3,1,SAT,0,3,True,0.15679642300165142,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01187,dnf,dnf/tiny_01187.trace,3469efa47e383a3652aa5e591e92de17f94f2fdbc12542dd28a4d85d6afe632e,3,1,SAT,0,3,True,0.15474585899937665,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01188,required,required/tiny_01188.trace,a5cce98ed8f672fef79147ed9ff76af0de5aa2d40311babe42b1b8e90e458481,3,1,SAT,0,3,True,0.09620895799889695,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01189,no_dag_reuse,no_dag_reuse/tiny_01189.trace,581d880bc9348d59fdf5faa2cf6b6da2ec99c04755fbf5eea5e76d976b7714f1,3,1,SAT,0,3,True,0.08441490000041085,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01190,global_prop,global_prop/tiny_01190.trace,00a8cd1ca6bbc756602c9f22f5af7e7a3a547fc33c2f7005356b6e894f05cf9a,4,1,SAT,0,4,True,0.1500011110001651,SAT,0,4,SAT,0,4,True,SAT,0,4,True,False,False,False,False,False
tiny_01191,repair,repair/tiny_01191.trace,c80e69405162e2edc548935a123643fd7ffa2f2b7d3ef6c70972e653fda0d476,3,0,SAT,1,2,True,0.037386323001555866,SAT,1,2,SAT,1,2,True,SAT,1,2,True,False,False,False,False,False
tiny_01192,plain,plain/tiny_01192.trace,29fc9cbb7831880ec0fe2179a0fb3dd17bd3484ed6f60ad5f5e9c0285c96d213,3,0,SAT,0,2,True,0.049512303001392866,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01193,nnf,nnf/tiny_01193.trace,8069c7f6370fe405fbd2db6bc3d6e7b3b68724af8bcc27d194cb7a8ced497ce4,3,0,SAT,0,2,True,0.050984247001906624,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01194,cnf,cnf/tiny_01194.trace,55e5795aca81e274ca45ce5bbf0cc822e7f075557c4ae1094449d02afdb0e1e4,3,1,SAT,0,3,True,0.11777412599985837,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01195,dnf,dnf/tiny_01195.trace,5c4e88d956868b95103e917941069c4d3d26ce1b7f5a5f67af9570c0146c873e,3,1,SAT,0,3,True,0.12938647100236267,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01196,required,required/tiny_01196.trace,80360fa8efbc6875df0ac1f1e2d613f5664f3c1fd06abb5489fb4a560ad9b6b0,3,0,SAT,0,2,True,0.05652927399933105,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01197,no_dag_reuse,no_dag_reuse/tiny_01197.trace,9e9acd608e4f32e462ca275d60025b16a296abbf016b67ceb249a06b36a6c306,3,0,SAT,0,2,True,0.04735957099910593,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01198,global_prop,global_prop/tiny_01198.trace,842a63b84c16e7eed48dbead26c81a1f40e2573afcf8f935b0862f8a66820eed,4,1,SAT,0,4,True,0.12466051100273035,SAT,0,4,SAT,0,4,True,SAT,0,4,True,False,False,False,False,False
tiny_01199,repair,repair/tiny_01199.trace,fa541df3d6f8f21c4762947cfaefd89978493acfc299b3242aabed8284dfc1cd,4,0,SAT,0,3,True,0.2169451769987063,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01200,plain,plain/tiny_01200.trace,e80426c84563d601047cf83e0c295cf96d7216d2d3c5940ea6392dfeb965e000,3,0,SAT,0,2,True,0.04524002900143387,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01201,nnf,nnf/tiny_01201.trace,b994d02df1cdb9596af8402414531a5f0dcc612524ebebb21e8e670caff73a6c,3,0,SAT,0,2,True,0.04638203799913754,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01202,cnf,cnf/tiny_01202.trace,e890470a6b374ae20a04580a2aa6c2e6f43cbf831738a15ba780a0cd8192d43a,2,0,UNSAT,0,0,False,0.03310743999827537,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01203,dnf,dnf/tiny_01203.trace,9cb01a06f9cc60a811793bb21f90a80fc9f31315a814e43db76b356bd1edf074,2,0,UNSAT,0,0,False,0.03853615900152363,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01204,required,required/tiny_01204.trace,0bbe3d4aac616c04a46311b35c8e42ac9a8faa74e6829d321e0b50e328519290,3,0,SAT,0,2,True,0.04273741300130496,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01205,no_dag_reuse,no_dag_reuse/tiny_01205.trace,314adc671be8f3d2d4a2e3d7fb7c7d318e093719cbc6d9766ab963befe88105d,3,0,SAT,0,2,True,0.054090083998744376,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01206,global_prop,global_prop/tiny_01206.trace,bef9d921d82a329ceb89007ee88fea0ee9c28d0fd13285804a2acabf4e855665,2,0,UNSAT,0,0,False,0.04181518900077208,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01207,repair,repair/tiny_01207.trace,c990bdd0f9d1a98399aa0619f287c60f6225b612119080abcad936516602781d,2,0,UNSAT,0,0,False,0.09425689999989117,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01208,plain,plain/tiny_01208.trace,4c7d20585e3d8b2bdfd84ad52a5f2e6d24ba06c01953d89a48928788f79578f6,4,0,SAT,0,3,True,0.09663331200135872,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01209,nnf,nnf/tiny_01209.trace,23b2cc823d5427b114a758fcc5c6c847000421485cf249e55de098f5c48eae2b,4,0,SAT,0,3,True,0.11712727199846995,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01210,cnf,cnf/tiny_01210.trace,31fb297cfbf9260dfbea7ef9e4652900457a387593c4698cc818b18df05b790e,2,0,SAT,0,1,True,0.025630727999669034,SAT,0,1,SAT,0,1,True,SAT,0,1,True,False,False,False,False,False
tiny_01211,dnf,dnf/tiny_01211.trace,41be5c527ec1ce9605c2f40ec1ac4a0ea5dfe232dc944886086e088b3486573a,2,0,SAT,0,1,True,0.024064044002443552,SAT,0,1,SAT,0,1,True,SAT,0,1,True,False,False,False,False,False
