batch,task,B,b,objectiveKind,category,atlasBStatus,macroStatus,atlasBObjectivePrimary,atlasBObjectiveSecondary,macroObjectivePrimary,macroObjectiveSecondary,atlasBWallSec,macroWallSec,atlasBVerification,macroVerification
b2,5to10Traces/0000.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,1.3727129569997487,2.01962475099981,PASSED,PASSED
b2,5to10Traces/0002.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,2.681924471000457,4.9471814619998895,PASSED,PASSED
b2,5to10Traces/0003.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,4.130317978000676,4.533624872000473,PASSED,PASSED
b2,5to10Traces/0004.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,4.515630896000403,8.081105343000218,PASSED,PASSED
b2,5to10Traces/0005.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,6.6359818910000286,10.412136991000125,PASSED,PASSED
b2,5to10Traces/0006.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,5.670750630000839,10.76428891500018,PASSED,PASSED
b2,5to10Traces/0007.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,10.914950995999789,10.661449472000186,PASSED,PASSED
b2,5to10Traces/0008.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,7.987452383000345,17.782749059999333,PASSED,PASSED
b2,5to10Traces/0009.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,12.560354598999993,16.636009619000106,PASSED,PASSED
b2,5to10Traces/0010.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,10.823322652999991,18.472751777999974,PASSED,PASSED
b2,5to10Traces/0011.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,22.443718737999916,13.36316738000005,PASSED,PASSED
b2,5to10Traces/0012.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,10.035336608000762,20.086835930999996,PASSED,PASSED
b2,5to10Traces/0013.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,20.77529031299855,19.623934948998794,PASSED,PASSED
b2,5to10Traces/0014.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,13.081229458999587,16.707587052000235,PASSED,PASSED
b2,5to10Traces/0015.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,24.196251706999647,28.15070994600137,PASSED,PASSED
b2,5to10Traces/0016.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,17.120992011,20.123747234999428,PASSED,PASSED
b2,5to10Traces/0017.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,28.869363826999916,23.751465603999918,PASSED,PASSED
b2,5to10Traces/0018.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,19.76913699099896,28.809953281999697,PASSED,PASSED
b2,5to10Traces/0019.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,33.39325099400048,24.430970430999878,PASSED,PASSED
b2,5to10Traces/0020.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,17.90925212600007,35.82780501800005,PASSED,PASSED
b2,5to10Traces/0021.trace,5,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,37.7047411679996,40.11937716099965,PASSED,PASSED
b2,5to10Traces/0022.trace,10,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,3,0,3,1.7231571869997424,3.2575171730004513,PASSED,PASSED
b2,5to10Traces/0023.trace,10,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,5,0,5,17.95575235599972,6.9591881619999185,PASSED,PASSED
b2,5to10Traces/0024.trace,10,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.09462376699958,180.06350541499978,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0025.trace,10,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.13866602999997,180.16497409600015,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0026.trace,10,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.1105673940001,180.16771608700037,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0027.trace,10,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.25112239400005,180.22367661099997,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0028.trace,10,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.1657151899999,180.13169388000006,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0029.trace,10,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.40257828500035,180.28053759900104,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0030.trace,10,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.16811998199955,180.2267212530005,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0031.trace,10,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.38295318999917,180.31607652899947,IN_PROGRESS,IN_PROGRESS
