campaign,batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,method,attempt,backendTotalClauses,emissionSec,error,modelBytes,modelSha256,parseSec,primaryVars,solverInvoked,status,translationSec,vars,wallSec
remaining423,b2,5to10Traces/0007.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,18f49d7822132d05f1d4bb6e2811d77950778ba815b21d52c8366d09efeb63b2,2,7,75,macro,1,1939151,0.26414590600006704,,110805,dea8074171436b8e0bfdebfe6c3ca75fe9dbd32b01e66df9445117a24afb76a1,0.977979778,17493,False,TRANSLATED_ONLY,7.423274531000061,824467,7.688063500999988
remaining423,b2,5to10Traces/0008.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,41fc8b607a7d2187795688c08a2796236044c4aecfef14332076b60f8e493d1b,2,100,100,atlas-b,1,2300122,0.4644042010004341,,39674,730daa098ce658f7c44de45e18c6bfd2fc4b5769d45437401057615132907178,0.561736057,12147,False,TRANSLATED_ONLY,4.819838592999986,724282,5.284840998000163
remaining423,b2,5to10Traces/0008.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,41fc8b607a7d2187795688c08a2796236044c4aecfef14332076b60f8e493d1b,2,100,100,macro,1,1727932,0.2643451859999004,,82589,b2dff5a30ffe937fbaf2d03d2e9d3dd8e290b31330725f0e5dc662ead2290259,0.906666838,16842,False,TRANSLATED_ONLY,7.523778697000125,856000,7.788794188999873
remaining423,b2,5to10Traces/0009.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,1fa2c89971eb9bf85ddb1903d4936d8b6807ddd6862da4db6a33713d919f22f9,2,5,100,atlas-b,1,5333499,0.46445662600035575,,31534,6180a123fa925b6ce2abe35ba8968f8caafd72c835fd996141a96bedd1e2bf57,0.480138187,17997,False,TRANSLATED_ONLY,8.625620229000106,1561022,9.090678977999687
remaining423,b2,5to10Traces/0009.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,1fa2c89971eb9bf85ddb1903d4936d8b6807ddd6862da4db6a33713d919f22f9,2,5,100,macro,1,2415842,0.26420818199994756,,120167,1c4805d845a998526fe31e4cbe3eeb0efe49a9a9584425f3eaac029e1120666a,1.000255808,22071,False,TRANSLATED_ONLY,6.9732384610001645,1039313,7.2380863770004
remaining423,b2,5to10Traces/0010.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,2c8d5f6b675827a4d0fc5a57c97b8c99adfd9886e1aee9ccba5b50f656dad98c,2,125,125,atlas-b,1,2873537,0.4643600790000164,,49014,e81c5cc7a71fae86d57a7e6b32838625c1ff9a9d7f14da087543d0dd4a35d721,0.679673227,15147,False,TRANSLATED_ONLY,4.920607872999881,904772,5.385574795999673
remaining423,b2,5to10Traces/0010.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,2c8d5f6b675827a4d0fc5a57c97b8c99adfd9886e1aee9ccba5b50f656dad98c,2,125,125,macro,1,2061660,0.2641381419998652,,84764,10f5d152c4373ad65cd12975fec57e8706cf7ef7e1aa0a4fbe11c09b87ee329a,0.997888614,20391,False,TRANSLATED_ONLY,7.875838363999719,1028512,8.140606700000262
frozen200,b2,5to10Traces/0011.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,e38bf3e3c82d45a788e109824513c902af600af42cf5fa633e528c6fba782796,2,8,125,atlas-b,1,6754048,0.46466161900025327,,39284,21fc8e29f24a7cc196f31af12347a5ce081a2f7781bc58273aee70dafdde5bca,0.585073956,22757,False,TRANSLATED_ONLY,8.276443395999195,1976682,8.741685527999834
frozen200,b2,5to10Traces/0011.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,e38bf3e3c82d45a788e109824513c902af600af42cf5fa633e528c6fba782796,2,8,125,macro,1,3138488,0.2642495109994343,,124832,770b4d4d130ee103eefcd98a375374b8b8d4279eaed8c6bb7ed7594613a3923f,1.08759472,28014,False,TRANSLATED_ONLY,9.87820087199998,1342425,10.143088398000145
remaining423,b2,5to10Traces/0012.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,b0ba16143354c8bf8a49bc68a909bda16cdb8008d6a8f5dc909add5fee906128,2,150,150,atlas-b,1,3446954,0.46445276799977364,,58304,691a97147742f2c89e972d03ddab9f1b1ad09f812f4970335d8987f33b011e4e,0.692218858,18147,False,TRANSLATED_ONLY,7.024641457000143,1085261,7.489648087000205
