task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount
5to10Traces/0000.trace,5to10Traces,macro,1,SAT,,MACRO,,5,2,0,5,1,44,1,1,3,MIN_EXPANDED_SIZE,0,3,0.102487078,0.008883558,0.071917051,0.049450914,3.061879596,0.081777302,0.097334937,3.7620044959767256,822160,PASSED,518180,117541,224730,,5,2157,43,1,2.0,2,1,,1
moreDetailedTest/0008.trace,moreDetailedTest,macro,1,TIMEOUT,,MACRO,,10,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.109833507,,,,,,,20.095007877011085,2826280,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,
increasingNumVariables/0028.trace,increasingNumVariables,atlas-b,1,TIMEOUT,,ATLAS_B,,37,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.107220554,,,,,,,20.11045911698602,3963024,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,
5to10Traces/0000.trace,5to10Traces,atlas-b,1,SAT,,ATLAS_B,,5,2,0,5,,,,,3,MIN_EXPANDED_SIZE,0,3,0.107593006,,,0.035321481,0.38247795,0.053990609,0.186518649,1.340902352007106,237892,PASSED,4345,38395,121118,,7,747,,,,,1,,1
moreDetailedTest/0008.trace,moreDetailedTest,atlas-b,1,TIMEOUT,,ATLAS_B,,10,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.109448612,,,,,,,20.118193585978588,3220560,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,
increasingNumVariables/0028.trace,increasingNumVariables,macro,1,TIMEOUT,,MACRO,,37,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.13852378,,,,,,,20.11104049900314,2714192,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,
