task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount
5to10Traces/0000.trace,5to10Traces,auto,1,FALLBACK,SAT,ORIGINAL,BINARY_TEMPORAL_UNTIL_REQUIRED,5,UNRESTRICTED,,,,,,,3,,,,0.015159418,,,,0.475183721,,0.092413506,1.1354551739932504,211008,TRACE_PASSED,,,,,,,,,,,,True,
moreDetailedTest/0008.trace,moreDetailedTest,auto,1,TIMEOUT,,ORIGINAL,BINARY_TEMPORAL_UNTIL_REQUIRED,10,UNRESTRICTED,,,,,,,,,,,0.017780499,,,,,,,5.071346964978147,754744,IN_PROGRESS,,,,TIMEOUT,,,,,,,,True,
5to10Traces/0000.trace,5to10Traces,original,1,SAT,SAT,ORIGINAL,,5,UNRESTRICTED,,,,,,,3,,,,1.077e-06,,,,0.44691894,,0.091327285,1.0314235079858918,246848,TRACE_PASSED,,,,,,,,,,,,False,
moreDetailedTest/0008.trace,moreDetailedTest,original,1,TIMEOUT,,ORIGINAL,,10,UNRESTRICTED,,,,,,,,,,,6.595e-06,,,,,,,5.071316439018119,766980,IN_PROGRESS,,,,TIMEOUT,,,,,,,,False,
