batch,task,family,inputSha256,B,b,p,K,C_K,numAP,positiveTraces,negativeTraces,minTraceLength,maxTraceLength,meanTraceLength,constraintFeatures,objectiveKind,isRepair,qStates,fiberCatalogSize,unquotientedFiberCount,encodedFiberCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,activeAnchors,activeMacroEdges,atlasPrimaryVars,macroPrimaryVars,atlasVars,macroVars,C_V,atlasTotalClauses,macroTotalClauses,C_C,atlasHardClauses,atlasSoftClauses,macroHardClauses,macroSoftClauses,atlasModelBytes,macroModelBytes,C_ModelBytes,atlasModelCount,macroModelCount,atlasMetricStatus,macroMetricStatus,atlasMetricSource,macroMetricSource,atlasRq2Attempts,macroRq2Attempts,atlasE4Status,macroE4Status,atlasE4WallSec,macroE4WallSec,atlasModelSha256,macroModelSha256
b2,5to10Traces/0011.trace,5to10Traces,e38bf3e3c82d45a788e109824513c902af600af42cf5fa633e528c6fba782796,5,2,0,5,1.0,2,8,125,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,34,44,28,1,2.0,2,1,1,22757,28014,1976682,1342425,1.4724710877702665,6754048,3138488,2.152006953666861,,,,,39284,124833,0.3146924290852579,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,22.443718737999916,13.36316738000005,21fc8e29f24a7cc196f31af12347a5ce081a2f7781bc58273aee70dafdde5bca,3bd490e5c5f68f66d27695c25342e8fdb65c2245dc2e48a32b8f8962b0e72d2a
b2,5to10Traces/0012.trace,5to10Traces,b0ba16143354c8bf8a49bc68a909bda16cdb8008d6a8f5dc909add5fee906128,5,2,0,5,1.0,2,150,150,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,32,44,28,1,2.0,2,1,1,18147,22365,1085261,1127689,0.9623761515807994,3446954,2246902,1.5340918295501984,,,,,58304,92011,0.6336633663366337,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,10.035336608000762,20.086835930999996,691a97147742f2c89e972d03ddab9f1b1ad09f812f4970335d8987f33b011e4e,ca1b7cd0bbc52fcb9e0e859f3c52dde53ad245c5f6a172713c3427546811be02
b2,5to10Traces/0013.trace,5to10Traces,0a8539b9676e0142c7a3d8adc1f088dd222e222568f6c4c0e638bd9d2d1c0025,5,2,0,5,1.0,2,4,150,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,34,44,28,1,2.0,2,1,1,26327,32025,2288427,1546986,1.4792810018965912,7819466,3601990,2.1708738780507444,,,,,45109,150386,0.2999547830250156,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,20.77529031299855,19.623934948998794,78a1c22e7ec636d04092225a86271f2b2bc768f24a52610d9e7eb6a74c4cf339,6d87f252772a4e3da13cad4cc25f593e524696bbf5a0d011444e5117057ec092
b2,5to10Traces/0014.trace,5to10Traces,327d8396cc8c1a82e18d32f56a21117f218ebf6b88c17672b7bc0d39fff6f5bc,5,2,0,5,1.0,2,175,175,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,32,44,28,1,2.0,2,1,1,21147,25326,1265757,1292471,0.9793310642946728,4020372,2597699,1.5476666080250252,,,,,67684,96237,0.7033053815060736,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,13.081229458999587,16.707587052000235,efe8ca731a305ef780347df232f9474515d65c00aaf5442c4e8c9b29c73e7101,8e76652b11181e36e95dfa81adb0fc4a3794ca01c4dfbce6b1cf37077bf5e1b4
b2,5to10Traces/0015.trace,5to10Traces,0f0ec3bcc17fbab360cf629aca37f0d9e5415b296cb77f0082b1ee7567b46347,5,2,0,5,1.0,2,10,175,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,34,44,28,1,2.0,2,1,1,31597,38136,2748622,1836162,1.496938723271694,9392214,4287885,2.190407158774081,,,,,53684,168449,0.31869586640466846,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,24.196251706999647,28.15070994600137,f1e4caab4e7cf85ef09da149333e5fe03e28e827d73e1334f67d2acc85223e4a,a980834c90d8af1525c0e2c2458efda3b755833980bf701b0a1c87b7f479307b
b2,5to10Traces/0016.trace,5to10Traces,fbf3dac0c3575546823f9684f2862c2e7dd41a4bf51dc7a1cc1208b93e939e0d,5,2,0,5,1.0,2,200,200,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,32,44,28,1,2.0,2,1,1,24147,29631,1446255,1518562,0.9523845585494698,4593799,3058437,1.5020087057539522,,,,,76994,102504,0.7511316631546086,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,17.120992011,20.123747234999428,6bf7744089831fad289587bb3fdd42f952c186280b6d0aa504634e61f6005e70,a6d9389e9b8c9ea567aaba0c91d81e198d7d24ad9d3071a0da086fe72b93551c
b2,5to10Traces/0017.trace,5to10Traces,45486e7c1a54c0d1b69c7fc4e6221d12e666904407bd082fcfdc0f69768ad5c2,5,2,0,5,1.0,2,8,200,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,34,44,28,1,2.0,2,1,1,35507,42483,3090057,2063324,1.4976111362054627,10559098,4795244,2.2019938922816022,,,,,60059,181311,0.3312485177402364,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,28.869363826999916,23.751465603999918,d236d52073cefa5b1d4416039d0a249ea36a2614663293b24dd8ec133294e869,db333d3038840235f7d3c1e6cf75d54a7a4f5b4c8f2ed4b93ac6f172248d5667
b2,5to10Traces/0018.trace,5to10Traces,2a201848a120d6627cd6a3129527070df72cfba676dee4fc4872104f9611e1e6,5,2,0,5,1.0,2,225,225,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,32,44,28,1,2.0,2,1,1,27147,31794,1626743,1629905,0.9980600096324632,5167214,3277170,1.5767305327462415,,,,,86414,106266,0.8131857790826793,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,19.76913699099896,28.809953281999697,b6e117accec3b2a7b1076a32ff4584ce5e68c2afab52387c85d15144cd1fc15a,9886b90b292f30bad1fb85c57cc19721779404f7d1b1992283f0fa55d8ec7622
b2,5to10Traces/0019.trace,5to10Traces,d2ec63cb54f0d08edb08846e8e8cb304c4b44efa96bb5a3f755504a22f94a765,5,2,0,5,1.0,2,14,225,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,34,44,28,1,2.0,2,1,1,40777,48909,3550252,2376323,1.4940107047737197,12131846,5525948,2.1954325303097315,,,,,68638,183678,0.3736865601759601,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,33.39325099400048,24.430970430999878,40464caaaae74a3bc033519c9b05a3814809880a11cd9427e4467517b5d094bd,f6c11eb43c25f0dc5898ec69806f933927634fa54d8f1e2bf589ff73e924de59
b2,5to10Traces/0020.trace,5to10Traces,fa994ea3d9fc4247e0618daf953b8dc940ca28b3068aba53d565728d72de4500,5,2,0,5,1.0,2,250,250,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,32,44,28,1,2.0,2,1,1,30147,34209,1807239,1761545,1.025939729044674,5740632,3541309,1.6210480361922668,,,,,95754,110483,0.866685372410235,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,17.90925212600007,35.82780501800005,952b4b6ae913c158f3fed1d16071b3df1232f325c1212c33e1ea98aee1f43892,b75c6edd2dab64282fbed33730821c5dea29e53fbb25ca2ff9cb5677ece49e6d
