batch,task,family,method,inputSha256,sourceCommit,B,b,p,K,numAP,positiveTraces,negativeTraces,minTraceLength,maxTraceLength,meanTraceLength,constraintFeatures,objectiveKind,e4Status,e4WallSec,e4Verification,metricStatus,metricSource,rq2Attempts,primaryVars,vars,backendTotalClauses,hardClauses,softClauses,modelBytes,modelCount,modelSha256,qStates,fiberCatalogSize,unquotientedFiberCount,encodedFiberCount,costScope,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,activeAnchors,activeMacroEdges,error,translationWallSec
b2,5to10Traces/0006.trace,5to10Traces,macro,7d3075244c5bbbe213fc317b55abec9af8071310f9d4db6cd3ae780bfd8366dd,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,75,75,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,10.76428891500018,PASSED,REUSED_E4,E4_REUSED,0,12768,631974,1258272,,,76290,1,651a3907e315cba92094c20d0baf9131b0b245053c8d8e68318e6bcb4e7acad0,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0007.trace,5to10Traces,atlas-b,18f49d7822132d05f1d4bb6e2811d77950778ba815b21d52c8366d09efeb63b2,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,7,75,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,10.914950995999789,PASSED,REUSED_E4,E4_REUSED,0,14087,1219587,4166615,,,25184,1,b2906b8a4ae24d6876a961905ff0d9904619e751194e516b610f413fd22a72c2,,,,,5,,,,,,,0
b2,5to10Traces/0007.trace,5to10Traces,macro,18f49d7822132d05f1d4bb6e2811d77950778ba815b21d52c8366d09efeb63b2,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,7,75,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,10.661449472000186,PASSED,REUSED_E4,E4_REUSED,0,17493,824467,1939151,,,110806,1,b96514fdb86ebc1dc06f99a0ae9ac595810c2c41fba6a7dee6ffc97076660572,1,34,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0008.trace,5to10Traces,atlas-b,41fc8b607a7d2187795688c08a2796236044c4aecfef14332076b60f8e493d1b,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,100,100,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,7.987452383000345,PASSED,REUSED_E4,E4_REUSED,0,12147,724282,2300122,,,39674,1,730daa098ce658f7c44de45e18c6bfd2fc4b5769d45437401057615132907178,,,,,5,,,,,,,0
b2,5to10Traces/0008.trace,5to10Traces,macro,41fc8b607a7d2187795688c08a2796236044c4aecfef14332076b60f8e493d1b,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,100,100,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,17.782749059999333,PASSED,REUSED_E4,E4_REUSED,0,16842,856000,1727932,,,82590,1,fbfef85784c942099bbf9610b45a6b40125ada9319728026be58a1d6f498ab46,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0009.trace,5to10Traces,atlas-b,1fa2c89971eb9bf85ddb1903d4936d8b6807ddd6862da4db6a33713d919f22f9,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,5,100,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,12.560354598999993,PASSED,REUSED_E4,E4_REUSED,0,17997,1561022,5333499,,,31534,1,6180a123fa925b6ce2abe35ba8968f8caafd72c835fd996141a96bedd1e2bf57,,,,,5,,,,,,,0
b2,5to10Traces/0009.trace,5to10Traces,macro,1fa2c89971eb9bf85ddb1903d4936d8b6807ddd6862da4db6a33713d919f22f9,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,5,100,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,16.636009619000106,PASSED,REUSED_E4,E4_REUSED,0,22071,1039313,2415842,,,120168,1,9a2de47f6c49b23847aad7de0f7611a3bace5bbb8c86c17ab36e176369cf4508,1,34,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0010.trace,5to10Traces,atlas-b,2c8d5f6b675827a4d0fc5a57c97b8c99adfd9886e1aee9ccba5b50f656dad98c,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,125,125,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,10.823322652999991,PASSED,REUSED_E4,E4_REUSED,0,15147,904772,2873537,,,49014,1,e81c5cc7a71fae86d57a7e6b32838625c1ff9a9d7f14da087543d0dd4a35d721,,,,,5,,,,,,,0
b2,5to10Traces/0010.trace,5to10Traces,macro,2c8d5f6b675827a4d0fc5a57c97b8c99adfd9886e1aee9ccba5b50f656dad98c,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,125,125,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,18.472751777999974,PASSED,REUSED_E4,E4_REUSED,0,20391,1028512,2061660,,,84765,1,5f4d8f7d737b811e4a83221a9d503d9c7414d9fb80e13b47b6852095b0b7abac,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0011.trace,5to10Traces,atlas-b,e38bf3e3c82d45a788e109824513c902af600af42cf5fa633e528c6fba782796,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,8,125,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,22.443718737999916,PASSED,REUSED_E4,E4_REUSED,0,22757,1976682,6754048,,,39284,1,21fc8e29f24a7cc196f31af12347a5ce081a2f7781bc58273aee70dafdde5bca,,,,,5,,,,,,,0
b2,5to10Traces/0011.trace,5to10Traces,macro,e38bf3e3c82d45a788e109824513c902af600af42cf5fa633e528c6fba782796,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,8,125,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,13.36316738000005,PASSED,REUSED_E4,E4_REUSED,0,28014,1342425,3138488,,,124833,1,3bd490e5c5f68f66d27695c25342e8fdb65c2245dc2e48a32b8f8962b0e72d2a,1,34,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0012.trace,5to10Traces,atlas-b,b0ba16143354c8bf8a49bc68a909bda16cdb8008d6a8f5dc909add5fee906128,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,150,150,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,10.035336608000762,PASSED,REUSED_E4,E4_REUSED,0,18147,1085261,3446954,,,58304,1,691a97147742f2c89e972d03ddab9f1b1ad09f812f4970335d8987f33b011e4e,,,,,5,,,,,,,0
b2,5to10Traces/0012.trace,5to10Traces,macro,b0ba16143354c8bf8a49bc68a909bda16cdb8008d6a8f5dc909add5fee906128,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,150,150,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,20.086835930999996,PASSED,REUSED_E4,E4_REUSED,0,22365,1127689,2246902,,,92011,1,ca1b7cd0bbc52fcb9e0e859f3c52dde53ad245c5f6a172713c3427546811be02,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0013.trace,5to10Traces,atlas-b,0a8539b9676e0142c7a3d8adc1f088dd222e222568f6c4c0e638bd9d2d1c0025,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,4,150,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,20.77529031299855,PASSED,REUSED_E4,E4_REUSED,0,26327,2288427,7819466,,,45109,1,78a1c22e7ec636d04092225a86271f2b2bc768f24a52610d9e7eb6a74c4cf339,,,,,5,,,,,,,0
b2,5to10Traces/0013.trace,5to10Traces,macro,0a8539b9676e0142c7a3d8adc1f088dd222e222568f6c4c0e638bd9d2d1c0025,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,4,150,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,19.623934948998794,PASSED,REUSED_E4,E4_REUSED,0,32025,1546986,3601990,,,150386,1,6d87f252772a4e3da13cad4cc25f593e524696bbf5a0d011444e5117057ec092,1,34,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0014.trace,5to10Traces,atlas-b,327d8396cc8c1a82e18d32f56a21117f218ebf6b88c17672b7bc0d39fff6f5bc,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,175,175,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,13.081229458999587,PASSED,REUSED_E4,E4_REUSED,0,21147,1265757,4020372,,,67684,1,efe8ca731a305ef780347df232f9474515d65c00aaf5442c4e8c9b29c73e7101,,,,,5,,,,,,,0
