campaign,server,algorithm,task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,learnedDagNodes,learnedUnaryNodes,learnedBinaryNodes,learnedUnaryDepth,learnedHasSharing,axis,axisValue,regime,target,targetUnaryDepth,targetBinaryNodes,AP,positive,negative,length,profile,requiredPropositions,q,compressionPotential,recognizedFeatures,seed,runCommit,timeoutSec,solved,traceSetHash,certifiedMinNodes,certifiedMinBinary,construction
primary,139.159.185.102,ATLAS-B,constraint_states/r00.trace,constraint_states,atlas-b,1,SAT,,ATLAS_B,,11,2,0,8,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.038130043,,,0.029409013,2.125938263,0.012486825,0.011934392,2.6614825510005176,400900,PASSED,5494,232301,795458,,11,2000,,,,,1,,1,,,,8,,,2.487724801,,,,,1,0,0,0,False,required_count,0,q_axis,"&(x0,&(x1,x2))",0,2,3,4,4,10,none,,1,0.2727272727272727,,20260928,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,constraint_states/r00.trace,constraint_states,macro,1,SAT,,MACRO,,11,2,0,8,1,60,1,1,1,MIN_EXPANDED_SIZE,0,1,0.036678943,0.000474362,0.05660667,0.008007414,0.691961565,0.004249288,0.006902256,1.002938315999927,126772,PASSED,11878,3838,7509,,8,415,59,1,0.0,0,1,,1,WEIGHTED_MAXSAT,104,1,1,0.311813853,0.380147712,0.87653095,8,8,0.005382197,1,1,0,0,0,False,required_count,0,q_axis,"&(x0,&(x1,x2))",0,2,3,4,4,10,none,,1,0.2727272727272727,,20260928,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,constraint_states/r01.trace,constraint_states,atlas-b,1,SAT,,ATLAS_B,,11,2,0,8,2,,,,3,MIN_EXPANDED_SIZE,0,3,0.044993937,,,0.037130618,1.97701845,0.029899255,0.010812383,2.5637299819973123,400200,PASSED,5532,232301,795459,,11,2000,,,,,1,,1,,,,8,,,2.384020113,,,,,3,0,1,0,False,required_count,1,q_axis,"&(x0,&(x1,x2))",0,2,3,4,4,10,none,x0,2,0.2727272727272727,RequiredProposition(x0),20260928,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,constraint_states/r01.trace,constraint_states,macro,1,SAT,,MACRO,,11,2,0,8,2,120,3,3,3,MIN_EXPANDED_SIZE,0,3,0.040720466,0.000545404,0.091498158,0.011315598,4.931431671,0.005697875,0.007638044,5.346002187998238,474912,PASSED,54636,193780,479474,,8,5969,59,2,0.0,0,1,,1,WEIGHTED_MAXSAT,208,92,8,0.694962221,4.23646945,5.175662304,8,8,0.012143248,0,3,0,1,0,False,required_count,1,q_axis,"&(x0,&(x1,x2))",0,2,3,4,4,10,none,x0,2,0.2727272727272727,RequiredProposition(x0),20260928,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,constraint_states/r02.trace,constraint_states,atlas-b,1,SAT,,ATLAS_B,,11,2,0,8,4,,,,3,MIN_EXPANDED_SIZE,0,3,0.054212709,,,0.039815516,2.418971184,0.011827579,0.017892162,2.980107429000782,401112,PASSED,5571,232301,795460,,11,2000,,,,,1,,1,,,,8,,,2.804481403,,,,,3,0,1,0,False,required_count,2,q_axis,"&(x0,&(x1,x2))",0,2,3,4,4,10,none,x0;x1,4,0.2727272727272727,RequiredProposition(x0);RequiredProposition(x1),20260928,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,constraint_states/r02.trace,constraint_states,macro,1,SAT,,MACRO,,11,2,0,8,4,240,3,3,3,MIN_EXPANDED_SIZE,0,3,0.05267814,0.000763309,0.122744732,0.014295964,6.322352769,0.008963108,0.007946612,6.780407510999794,789352,PASSED,68430,234007,617117,,8,9389,59,3,0.0,0,1,,1,WEIGHTED_MAXSAT,416,184,8,0.838682698,5.483670071,6.601449139,8,8,0.001428066,0,3,0,1,0,False,required_count,2,q_axis,"&(x0,&(x1,x2))",0,2,3,4,4,10,none,x0;x1,4,0.2727272727272727,RequiredProposition(x0);RequiredProposition(x1),20260928,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,constraint_states/r03.trace,constraint_states,atlas-b,1,SAT,,ATLAS_B,,11,2,0,8,7,,,,5,MIN_EXPANDED_SIZE,0,5,0.061323024,,,0.029141802,1.980315309,0.021788206,0.012644387,2.5281048420001753,399660,PASSED,5610,232301,795461,,11,2000,,,,,1,,1,,,,8,,,2.350895073,,,,,5,0,2,0,False,required_count,3,q_axis,"&(x0,&(x1,x2))",0,2,3,4,4,10,none,x0;x1;x2,7,0.2727272727272727,RequiredProposition(x0);RequiredProposition(x1);RequiredProposition(x2),20260928,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,constraint_states/r03.trace,constraint_states,macro,1,SAT,,MACRO,,11,2,0,8,7,420,5,5,5,MIN_EXPANDED_SIZE,0,5,0.072778228,0.001372144,0.176657852,0.016156479,11.769879575,0.011745427,0.01308561,12.323741516000155,905724,PASSED,93666,333727,969701,,8,15899,59,5,0.0,0,1,,1,WEIGHTED_MAXSAT,728,322,8,1.284738934,10.485140641,12.164238667,8,8,0.001339263,0,5,0,2,0,False,required_count,3,q_axis,"&(x0,&(x1,x2))",0,2,3,4,4,10,none,x0;x1;x2,7,0.2727272727272727,RequiredProposition(x0);RequiredProposition(x1);RequiredProposition(x2),20260928,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,control_B/B07.trace,control_B,atlas-b,1,SAT,,ATLAS_B,,7,3,0,7,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.034387365,,,0.034115738,1.881167569,0.024623206,0.019306611,2.368515516998741,383784,PASSED,6218,208874,715865,,11,1993,,,,,1,,1,,,,7,,,2.246386021,,,,,1,0,0,0,False,B,7,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,control_B/B07.trace,control_B,macro,1,SAT,,MACRO,,7,3,0,7,1,46,1,1,1,MIN_EXPANDED_SIZE,0,1,0.033920703,0.000459361,0.047671453,0.003400666,0.698564002,0.004647169,0.013182105,0.9973547539993888,125660,PASSED,12416,3988,8007,,7,426,45,1,0.0,0,1,,1,WEIGHTED_MAXSAT,64,1,1,0.325636644,0.372927358,0.859780783,8,8,0.004748031,1,1,0,0,0,False,B,7,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
