campaign,server,task,axis,axisValue,regime,B,b,p,K,q,compressionPotential,targetUnaryDepth,atlasStatus,macroStatus,atlasSec,macroSec,speedup,bothSolved,statusAgreement,objectiveAgreement
primary,139.159.185.102,binary_budget/b03.trace,b,3,large_b_short_unary,15,3,0,11,1,0.2666666666666667,0,SAT,SAT,2.5457429770031013,1.0277262760027952,2.4770632379902073,True,True,True
primary,139.159.185.102,binary_budget/b04.trace,b,4,large_b_short_unary,15,4,0,14,1,0.06666666666666665,0,SAT,SAT,2.7267037399979017,1.1168998449975334,2.4413144582394706,True,True,True
primary,139.159.185.102,binary_budget/b05.trace,b,5,large_b_short_unary,15,5,0,15,1,0.0,0,SAT,SAT,2.5163996159972157,1.024881553999876,2.455307743783942,True,True,True
primary,139.159.185.102,binary_budget/b06.trace,b,6,large_b_short_unary,15,6,0,15,1,0.0,0,SAT,SAT,2.489866517000337,1.0646105150008225,2.3387581485595352,True,True,True
primary,139.159.185.102,binary_budget/b07.trace,b,7,large_b_short_unary,15,7,0,15,1,0.0,0,SAT,SAT,2.439125409000553,1.0017079429999285,2.434966624798669,True,True,True
primary,139.159.185.102,constraint_states/r00.trace,required_count,0,q_axis,11,2,0,8,1,0.2727272727272727,0,SAT,SAT,2.6614825510005176,1.002938315999927,2.6536851853616,True,True,True
primary,139.159.185.102,constraint_states/r01.trace,required_count,1,q_axis,11,2,0,8,2,0.2727272727272727,0,SAT,SAT,2.5637299819973123,5.346002187998238,0.4795602193640848,True,True,True
primary,139.159.185.102,constraint_states/r02.trace,required_count,2,q_axis,11,2,0,8,4,0.2727272727272727,0,SAT,SAT,2.980107429000782,6.780407510999794,0.4395174514461233,True,True,True
primary,139.159.185.102,constraint_states/r03.trace,required_count,3,q_axis,11,2,0,8,7,0.2727272727272727,0,SAT,SAT,2.5281048420001753,12.323741516000155,0.2051410149034599,True,True,True
primary,139.159.185.102,control_B/B07.trace,B,7,large_b_short_unary,7,3,0,7,1,0.0,0,SAT,SAT,2.368515516998741,0.9973547539993888,2.374797440430301,True,True,True
primary,139.159.185.102,control_B/B11.trace,B,11,large_b_short_unary,11,3,0,11,1,0.0,0,SAT,SAT,2.8351463500002865,1.0536797679997107,2.690709678693446,True,True,True
primary,139.159.185.102,control_B/B15.trace,B,15,large_b_short_unary,15,5,0,15,1,0.0,0,SAT,SAT,2.5372857020010997,0.9970297459985886,2.544844536669111,True,True,True
primary,139.159.185.102,control_B/B21.trace,B,21,large_b_short_unary,21,7,0,21,1,0.0,0,SAT,SAT,2.4851042039990716,1.1165831170001184,2.225632974530107,True,True,True
primary,139.159.185.102,control_B/B31.trace,B,31,large_b_short_unary,31,10,0,31,1,0.0,0,SAT,SAT,2.596971200000553,1.0758865419993526,2.4137965283723344,True,True,True
