task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound
weakening/weaken_consequent/weaken_consequent_10_15_15.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.074282095,,,0.034950955,2.529793929,0.017737464,0.015825834,3.1147086390010372,399216,PASSED,13942,256013,868166,,11,6578,,,,,1,,1,,,,8,,,2.936798639,,,,
weakening/weaken_consequent/weaken_consequent_10_35_35.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.071975174,,,0.049519427,4.974049738,0.017629781,0.015710322,5.600152306997188,885448,PASSED,28582,584293,1992766,,11,14978,,,,,1,,1,,,,8,,,5.417586195,,,,
weakening/weaken_consequent/weaken_consequent_10_35_35.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.072842978,0.004249351,0.035196371,0.01678266,17.893678434,0.008768489,0.017998432,18.44727981399774,1547812,PASSED,103289,705437,1814506,,11,29778,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.110212438,16.783465996,18.197971145,70,70,0.001012707,0
weakening/weaken_consequent/weaken_consequent_10_15_15.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.088684363,0.002399393,0.038284362,0.007018054,14.15257062,0.010453464,0.012928189,14.60671516399816,1187116,PASSED,91227,383072,1035149,,11,16743,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,0.993794099,13.158776521,14.423807654,30,30,0.000977756,0
weakening/weaken_consequent/weaken_consequent_65_10_10.trace,weakening,atlas-b,1,TIMEOUT,,ATLAS_B,,18,3,0,11,,,,,,MIN_EXPANDED_SIZE,,,0.090446199,,,,,,,180.35754821199953,4451668,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,
weakening/weaken_consequent/weaken_consequent_65_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.077539363,0.002525746,0.161933637,0.008820982,21.601077569,0.00919788,0.036803551,23.675560509000206,1749340,PASSED,104531,1066130,2878599,,11,49743,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.152132676,20.448944893,23.435235992,20,20,0.001115109,0
weakening/weaken_consequent/weaken_consequent_10_85_85.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.081638427,,,0.055734037,12.285446438,0.036860614,0.024454783,12.96982724999907,1916236,PASSED,65182,1404993,4804266,,11,35978,,,,,1,,1,,,,8,,,12.779330526,,,,
weakening/weaken_consequent/weaken_consequent_5_10_10.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.07780442,,,0.029202122,1.052806076,0.019363125,0.019830387,1.6651200119995337,222172,PASSED,7517,52543,158216,,11,1878,,,,,1,,1,,,,8,,,1.46669436,,,,
weakening/weaken_consequent/weaken_consequent_10_85_85.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.080784585,0.003018445,0.027990952,0.012648807,32.561464351,0.010861823,0.03793805,33.28207044100054,2519092,PASSED,126072,1523804,3795473,,11,62943,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.706054969,30.855409382,33.016004543,170,170,0.001104478,0
weakening/weaken_consequent/weaken_consequent_5_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.082368314,0.002642046,0.02235728,0.006334769,11.915717237,0.010009483,0.017647004,12.356426943002589,816112,PASSED,87561,231786,652159,,11,10143,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,0.860433485,11.055283752,12.177122643,20,20,0.001074777,0
