algorithm,task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,learnedDagNodes,learnedUnaryNodes,learnedBinaryNodes,learnedUnaryDepth,learnedHasSharing,axis,axisValue,regime,target,targetUnaryDepth,targetBinaryNodes,AP,positive,negative,length,profile,requiredPropositions,q,compressionPotential,recognizedFeatures,seed,traceSetHash,certifiedMinNodes,certifiedMinBinary,construction,runCommit,timeoutSec,solved
ATLAS-B,rq4c_binary/n07.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,13,6,0,13,1,,,,13,MIN_EXPANDED_SIZE,0,13,0.033060047,,,0.073460812,16.490668231,0.033415435,0.027202533,17.12296111699925,367004,PASSED,22224,132780,471187,,20,3542,,,,,2,,2,,,,13,,,16.938564616,,,,,13,0,6,0,False,certified_binary_arity,7,certified_binary,"&(x0,&(x1,&(x2,&(x3,&(x4,&(x5,x6))))))",0,6,7,1,127,1,none,,1,0.0,,20263924,11412e7b39b1885efb6ae10faea50ac5084fa207c580f2c6a00db653fdc6d36c,13,6,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_binary/n07.trace,rq4c_binary,macro,1,TIMEOUT,,MACRO,,13,6,0,13,1,,,,,MIN_EXPANDED_SIZE,,,0.031436519,,,,,,,180.0354109279997,624476,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,certified_binary_arity,7,certified_binary,"&(x0,&(x1,&(x2,&(x3,&(x4,&(x5,x6))))))",0,6,7,1,127,1,none,,1,0.0,,20263924,11412e7b39b1885efb6ae10faea50ac5084fa207c580f2c6a00db653fdc6d36c,13,6,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,False
ATLAS-B,rq4c_unary/d04.trace,rq4c_unary,atlas-b,1,SAT,,ATLAS_B,,5,0,0,2,1,,,,5,MIN_EXPANDED_SIZE,0,5,0.030090099,,,0.043389883,0.904616682,0.014964263,0.012800843,1.4300862629997937,214404,PASSED,6672,79076,259459,,6,2393,,,,,1,,1,,,,5,,,1.269851704,,,,,5,4,0,4,False,certified_unary_depth,4,certified_unary,X(X(X(X(x0)))),4,0,1,16,16,6,none,,1,0.6,,20263924,1f469048646be06c58cbbdc2b6274314990c10c3b6a46905b23a5570406b6cef,5,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_unary/d04.trace,rq4c_unary,macro,1,SAT,,MACRO,,5,0,0,2,1,6,1,1,5,MIN_EXPANDED_SIZE,0,5,0.030231832,0.000492571,0.011981535,0.004048513,0.928969179,0.005250631,0.014964392,1.2371677959999943,158656,PASSED,11926,21198,40975,,2,1573,6,1,4.0,4,1,,1,WEIGHTED_MAXSAT,6,5,5,0.254755872,0.674213307,1.111475668,32,32,0.005529867,0,5,4,0,4,False,certified_unary_depth,4,certified_unary,X(X(X(X(x0)))),4,0,1,16,16,6,none,,1,0.6,,20263924,1f469048646be06c58cbbdc2b6274314990c10c3b6a46905b23a5570406b6cef,5,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_unary/d06.trace,rq4c_unary,atlas-b,1,SAT,,ATLAS_B,,7,0,0,2,1,,,,7,MIN_EXPANDED_SIZE,0,7,0.030380016,,,0.034298345,1.732965517,0.035692276,0.022199019,2.2770516139999017,438012,PASSED,7274,247125,835421,,8,4247,,,,,1,,1,,,,7,,,2.123363566,,,,,7,6,0,6,False,certified_unary_depth,6,certified_unary,X(X(X(X(X(X(x0)))))),6,0,1,16,16,8,none,,1,0.7142857142857143,,20263924,dd8b4da84bc0a77225c738bdcbd137fa9f9c541ca1688324aed685d19d774a02,7,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_unary/d06.trace,rq4c_unary,macro,1,SAT,,MACRO,,7,0,0,2,1,8,1,1,7,MIN_EXPANDED_SIZE,0,7,0.036546927,0.000455391,0.007765048,0.004267448,1.096391862,0.004658017,0.011633216,1.4099229209996338,181032,PASSED,12750,27441,55140,,2,1897,8,1,6.0,6,1,,1,WEIGHTED_MAXSAT,8,7,7,0.310488989,0.785902873,1.262946466,32,32,0.008511865,0,7,6,0,6,False,certified_unary_depth,6,certified_unary,X(X(X(X(X(X(x0)))))),6,0,1,16,16,8,none,,1,0.7142857142857143,,20263924,dd8b4da84bc0a77225c738bdcbd137fa9f9c541ca1688324aed685d19d774a02,7,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_unary/d08.trace,rq4c_unary,atlas-b,1,SAT,,ATLAS_B,,9,0,0,2,1,,,,9,MIN_EXPANDED_SIZE,0,9,0.037727034,,,0.056488883,7.93913719,0.018919213,0.0253084,8.510266946000229,1036588,PASSED,7877,604909,2072636,,10,6629,,,,,2,,2,,,,9,,,8.326813406,,,,,9,8,0,8,False,certified_unary_depth,8,certified_unary,X(X(X(X(X(X(X(X(x0)))))))),8,0,1,16,16,10,none,,1,0.7777777777777778,,20263924,82b6d242dfa03003e07fd8a4f8fff8750e3854bda08a4bf1cc87334e00ec6e53,9,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_unary/d08.trace,rq4c_unary,macro,1,SAT,,MACRO,,9,0,0,2,1,10,1,1,9,MIN_EXPANDED_SIZE,0,9,0.031680415,0.00043057,0.00872836,0.008606118,1.627884081,0.004612926,0.014269557,1.9430031359997884,347460,PASSED,13662,34585,72105,,2,2221,10,1,8.0,8,2,,2,WEIGHTED_MAXSAT,10,9,9,0.41713374,1.210750341,1.789543643,32,32,0.004497383,0,9,8,0,8,False,certified_unary_depth,8,certified_unary,X(X(X(X(X(X(X(X(x0)))))))),8,0,1,16,16,10,none,,1,0.7777777777777778,,20263924,82b6d242dfa03003e07fd8a4f8fff8750e3854bda08a4bf1cc87334e00ec6e53,9,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_unary/d10.trace,rq4c_unary,atlas-b,1,SAT,,ATLAS_B,,11,0,0,2,1,,,,11,MIN_EXPANDED_SIZE,0,11,0.029542976,,,0.04974262,15.344296385,0.016652141,0.014555083,15.914063449000423,1878176,PASSED,8613,1259233,4344216,,12,9539,,,,,2,,2,,,,11,,,15.70535403,,,,,11,10,0,10,False,certified_unary_depth,10,certified_unary,X(X(X(X(X(X(X(X(X(X(x0)))))))))),10,0,1,16,16,12,none,,1,0.8181818181818181,,20263924,ff7c6796bc39e6bec3638c3cced64ce3d194718d4b3a3a7b2119cdb5a2659a85,11,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_unary/d10.trace,rq4c_unary,macro,1,SAT,,MACRO,,11,0,0,2,1,12,1,1,11,MIN_EXPANDED_SIZE,0,11,0.030226842,0.0004711,0.018107225,0.009014266,1.69288538,0.005133827,0.017630904,2.051456848000271,212892,PASSED,14803,42639,91773,,2,2545,12,1,10.0,10,2,,2,WEIGHTED_MAXSAT,12,11,11,0.456637036,1.236248344,1.865837909,32,32,0.004873241,0,11,10,0,10,False,certified_unary_depth,10,certified_unary,X(X(X(X(X(X(X(X(X(X(x0)))))))))),10,0,1,16,16,12,none,,1,0.8181818181818181,,20263924,ff7c6796bc39e6bec3638c3cced64ce3d194718d4b3a3a7b2119cdb5a2659a85,11,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
