algorithm,task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,learnedDagNodes,learnedUnaryNodes,learnedBinaryNodes,learnedUnaryDepth,learnedHasSharing,axis,axisValue,regime,target,targetUnaryDepth,targetBinaryNodes,AP,positive,negative,length,profile,requiredPropositions,q,compressionPotential,recognizedFeatures,seed,traceSetHash,certifiedMinNodes,certifiedMinBinary,construction,runCommit,timeoutSec,solved
ATLAS-B,rq4f_boolean_B/B09.trace,rq4f_boolean_B,atlas-b,1,TIMEOUT,,ATLAS_B,,9,4,0,9,1,,,,,MIN_EXPANDED_SIZE,,,0.03470058,,,,,,,180.059904405,299164,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,B,9,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,x4))))",0,4,6,2,62,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,9,4,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_boolean_B/B09.trace,rq4f_boolean_B,macro,1,SAT,,MACRO,,9,4,0,9,1,3,9,9,9,MIN_EXPANDED_SIZE,0,9,0.031688096,0.000588733,0.015010895,0.005884165,77.432544578,0.006369906,0.011401052,77.80129031599995,429596,PASSED,24217,84258,189032,,9,3421,3,1,0.0,0,2,,2,WEIGHTED_MAXSAT,84,3,9,0.591473366,76.841071212,77.61406846,64,64,0.01263235,0,9,0,4,0,False,B,9,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,x4))))",0,4,6,2,62,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,9,4,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,True
ATLAS-B,rq4f_boolean_B/B11.trace,rq4f_boolean_B,atlas-b,1,TIMEOUT,,ATLAS_B,,11,5,0,11,1,,,,,MIN_EXPANDED_SIZE,,,0.033479159,,,,,,,180.0360763419999,301504,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,B,11,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_boolean_B/B11.trace,rq4f_boolean_B,macro,1,TIMEOUT,,MACRO,,11,5,0,11,1,,,,,MIN_EXPANDED_SIZE,,,0.035051506,,,,,,,180.07444715299994,478764,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,B,11,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
ATLAS-B,rq4f_fixed_B/B07.trace,rq4f_fixed_B,atlas-b,1,UNSAT,,ATLAS_B,,7,5,0,7,1,,,,0,MIN_EXPANDED_SIZE,0,0,0.034638605,,,0.038803259,98.078431583,0.0,0.0,98.53797697200002,264416,NOT_APPLICABLE_UNSAT,12056,50534,156085,,13,1310,,,,,1,,1,,,,7,,,98.415221343,,,,,,,,,,B_fixed_target,7,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,True
MacroATLAS,rq4f_fixed_B/B07.trace,rq4f_fixed_B,macro,1,UNSAT,,MACRO,,7,5,0,7,1,3,0,0,0,MIN_EXPANDED_SIZE,0,0,0.035760993,0.000653327,0.011816099,0.004721759,8.225307173,0.000459021,0.001078635,8.470145578000029,240968,NOT_APPLICABLE_UNSAT,23314,58153,121719,,7,2537,3,0,0.0,0,1,,1,WEIGHTED_MAXSAT,64,3,7,0.408653178,7.816653995,8.340888103,64,64,0.011792628,0,,,,,,B_fixed_target,7,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,True
ATLAS-B,rq4f_fixed_B/B09.trace,rq4f_fixed_B,atlas-b,1,TIMEOUT,,ATLAS_B,,9,5,0,9,1,,,,,MIN_EXPANDED_SIZE,,,0.034068472,,,,,,,180.03986526699987,294264,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,B_fixed_target,9,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_fixed_B/B09.trace,rq4f_fixed_B,macro,1,UNSAT,,MACRO,,9,5,0,9,1,3,0,0,0,MIN_EXPANDED_SIZE,0,0,0.031528968,0.000529122,0.018151504,0.007305249,138.166796332,0.000330168,0.00041811,138.461773558,432852,NOT_APPLICABLE_UNSAT,24221,84257,189023,,9,3421,3,0,0.0,0,2,,2,WEIGHTED_MAXSAT,84,3,9,0.603103324,137.563693008,138.296331329,64,64,0.012062672,0,,,,,,B_fixed_target,9,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,True
ATLAS-B,rq4f_fixed_B/B12.trace,rq4f_fixed_B,atlas-b,1,TIMEOUT,,ATLAS_B,,12,5,0,12,1,,,,,MIN_EXPANDED_SIZE,,,0.032147408,,,,,,,180.07429553500003,296620,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,B_fixed_target,12,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_fixed_B/B12.trace,rq4f_fixed_B,macro,1,TIMEOUT,,MACRO,,12,5,0,12,1,,,,,MIN_EXPANDED_SIZE,,,0.035603343,,,,,,,180.04228564699997,500484,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,B_fixed_target,12,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
ATLAS-B,rq4f_unary_B/B07.trace,rq4f_unary_B,atlas-b,1,TIMEOUT,,ATLAS_B,,7,1,0,5,1,,,,,MIN_EXPANDED_SIZE,,,0.038801464,,,,,,,180.14566896700012,2232236,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,B,7,small_b_long_unary,X(X(X(X(X(X(x0)))))),6,0,1,9,23,16,none,,1,0.2857142857142857,,20261924,b253e027a827e15d8e4f4713fb5106f415781dd512c1638a2839d182727568a2,,,common_pulse_and_random_traces,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_unary_B/B07.trace,rq4f_unary_B,macro,1,SAT,,MACRO,,7,1,0,5,1,44,1,1,7,MIN_EXPANDED_SIZE,0,7,0.032582878,0.000498911,0.048740685,0.008883602,9.269206523,0.004562734,0.012150897,9.674757051000029,961756,PASSED,89505,546344,1336252,,5,9016,43,1,6.0,6,1,,1,WEIGHTED_MAXSAT,64,38,7,0.769378639,8.499827884,9.467997483,32,32,0.007118761,0,7,6,0,6,False,B,7,small_b_long_unary,X(X(X(X(X(X(x0)))))),6,0,1,9,23,16,none,,1,0.2857142857142857,,20261924,b253e027a827e15d8e4f4713fb5106f415781dd512c1638a2839d182727568a2,,,common_pulse_and_random_traces,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,True
ATLAS-B,rq4f_unary_B/B09.trace,rq4f_unary_B,atlas-b,1,TIMEOUT,,ATLAS_B,,9,1,0,5,1,,,,,MIN_EXPANDED_SIZE,,,0.0313524,,,,,,,180.1450004259999,2502280,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,B,9,small_b_long_unary,X(X(X(X(X(X(X(X(x0)))))))),8,0,1,9,23,16,none,,1,0.4444444444444444,,20261924,b253e027a827e15d8e4f4713fb5106f415781dd512c1638a2839d182727568a2,,,common_pulse_and_random_traces,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_unary_B/B09.trace,rq4f_unary_B,macro,1,SAT,,MACRO,,9,1,0,5,1,56,1,1,9,MIN_EXPANDED_SIZE,0,9,0.030946255,0.000573844,0.062278918,0.020419165,44.649047489,0.004161823,0.010608187,45.11052861600001,1620256,PASSED,105721,637861,1565289,,5,9274,55,1,8.0,8,2,,2,WEIGHTED_MAXSAT,84,50,9,1.465101044,43.183946445,44.877428253,32,32,0.007520607,0,9,8,0,8,False,B,9,small_b_long_unary,X(X(X(X(X(X(X(X(x0)))))))),8,0,1,9,23,16,none,,1,0.4444444444444444,,20261924,b253e027a827e15d8e4f4713fb5106f415781dd512c1638a2839d182727568a2,,,common_pulse_and_random_traces,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,True
ATLAS-B,rq4f_unary_B/B11.trace,rq4f_unary_B,atlas-b,1,TIMEOUT,,ATLAS_B,,11,1,0,5,1,,,,,MIN_EXPANDED_SIZE,,,0.030268555,,,,,,,180.1672896319999,2502512,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,B,11,small_b_long_unary,X(X(X(X(X(X(X(X(X(X(x0)))))))))),10,0,1,5,27,16,none,,1,0.5454545454545454,,20261924,b253e027a827e15d8e4f4713fb5106f415781dd512c1638a2839d182727568a2,,,common_pulse_and_random_traces,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_unary_B/B11.trace,rq4f_unary_B,macro,1,SAT,,MACRO,,11,1,0,5,1,68,1,1,11,MIN_EXPANDED_SIZE,0,11,0.034892143,0.000655676,0.073127023,0.020555255,87.507424504,0.004302688,0.010415793,87.9720173610001,1793272,PASSED,119198,708917,1767047,,5,9532,67,1,10.0,10,2,,2,WEIGHTED_MAXSAT,104,62,11,1.525343682,85.982080822,87.753886746,32,32,0.011328521,0,11,10,0,10,False,B,11,small_b_long_unary,X(X(X(X(X(X(X(X(X(X(x0)))))))))),10,0,1,5,27,16,none,,1,0.5454545454545454,,20261924,b253e027a827e15d8e4f4713fb5106f415781dd512c1638a2839d182727568a2,,,common_pulse_and_random_traces,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,True
